기관ID,주소,병원분류,병원분류명,기관명,병원경도,병원위도,작업시간
A1100011,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",A,종합병원,가톨릭대학교여의도성모병원,126.93673129599131,37.51827233800711,2026-08-07 14:53:07.0
A1121013,서울특별시 은평구 통일로 1021 (진관동),A,종합병원,가톨릭대학교은평성모병원,126.91615048739686,37.633608409726854,2026-08-07 14:53:07.0
E1100021,서울특별시 강남구 선릉로 668 강남구보건소 (삼성동),R,보건소,강남구보건소,127.04227756939835,37.51630311339761,2026-08-07 14:53:07.0
A1100141,"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",A,종합병원,강남베드로병원,127.0395873429168,37.485612179925724,2026-08-07 14:53:07.0
A1100043,서울특별시 강동구 동남로 892 (상일동),A,종합병원,강동경희대학교병원,127.157084787845,37.5520459324005,2026-08-07 14:53:07.0
E1100016,서울특별시 강동구 성내로 45 (성내동),R,보건소,강동구보건소,127.12554877923407,37.529263209330765,2026-08-07 14:53:07.0
E1100009,"서울특별시 강북구 한천로 897 (번동, 강북보건소,번2동주민센터)",R,보건소,강북구보건소,127.03884474673563,37.63214337997896,2026-08-07 14:53:07.0
A1100006,서울특별시 종로구 새문안로 29 (평동),A,종합병원,강북삼성병원,126.96793805451702,37.568497631233825,2026-08-07 14:53:07.0
A1100002,서울특별시 광진구 능동로 120-1 (화양동),A,종합병원,건국대학교병원,127.0721229093036,37.54084479467721,2026-08-07 14:53:08.0
A1100039,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",A,종합병원,경찰병원,127.12348793503201,37.496413213560785,2026-08-07 14:53:08.0
A1100001,서울특별시 동대문구 경희대로 23 (회기동),A,종합병원,경희대학교병원,127.05183223390303,37.5938765502235,2026-08-07 14:53:08.0
A1100014,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",A,종합병원,고려대학교의과대학부속구로병원,126.8847449363546,37.49211114525054,2026-08-07 14:53:08.0
A1100018,"서울특별시 강남구 도곡로 429 (대치동, 베스티안병원 2층일부 제외)",A,종합병원,재단법인베스티안재단베스티안서울병원,127.05726710883552,37.49807126965969,2020-12-07 14:53:31.0
A1100033,서울특별시 중구 마른내로 9 (저동2가),A,종합병원,인제대학교서울백병원,126.98884533055192,37.5650731684839,2023-08-07 14:56:06.0
E1100013,서울특별시 관악구 관악로 145  (봉천동),R,보건소,관악구보건소,126.95112762992993,37.47853037138971,2026-08-07 14:53:08.0
E1100010,"서울특별시 광진구 아차산로 400, 광진구보건소 (자양동)",R,보건소,광진구보건소,127.08249786939318,37.53811493772281,2026-08-07 14:53:08.0
E1100003,"서울특별시 구로구 구로중앙로28길 66 (구로동, 구로5동 주민센터, 구로구보건소)",R,보건소,구로구보건소,126.88936460104897,37.5001092837881,2026-08-07 14:53:08.0
A1100026,"서울특별시 구로구 경인로 427, 구로성심병원 (고척동)",A,종합병원,구로성심병원,126.86636039556485,37.49964578669388,2026-08-07 14:53:08.0
A1100052,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",A,종합병원,국립중앙의료원,127.00579539705472,37.56733955813183,2026-08-07 14:53:08.0
E1100019,"서울특별시 금천구 시흥대로73길 70, (시흥동,금천구보건소)",R,보건소,금천구보건소,126.89502306376147,37.45664253298437,2026-08-07 14:53:08.0
A1122033,"서울특별시 서초구 서초중앙로 4, 기쁨병원 (서초동)",A,종합병원,기쁨병원,127.018063486739,37.482713030212,2026-08-07 14:53:08.0
E1100026,"서울특별시 노원구 노해로 437, (상계동)",R,보건소,노원구보건소,127.05702334209292,37.65457770735563,2026-08-07 14:53:09.0
A1100048,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",A,종합병원,노원을지대학교병원,127.07000281991385,37.636442927386746,2026-08-07 14:53:09.0
A1100044,서울특별시 중랑구 사가정로49길 53 (면목동),A,종합병원,녹색병원,127.08605546969357,37.58362083896108,2026-08-07 14:53:09.0
A1100019,"서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)",A,종합병원,홍익병원,126.8636640030062,37.52844147447355,2026-08-07 14:53:18.0
A1100037,"서울특별시 영등포구 시흥대로 657 (대림동, 대림성모병원)",A,종합병원,대림성모병원,126.90716948025135,37.49068925436284,2026-08-07 14:53:09.0
E1100007,"서울특별시 도봉구 방학로3길 117, (쌍문동)",R,보건소,도봉구보건소,127.0388128946827,37.65802325255334,2026-08-07 14:53:09.0
E1100020,서울특별시 동대문구 천호대로 145 (용두동),R,보건소,동대문구보건소,127.0402548147166,37.57468135062168,2026-08-07 14:53:09.0
E1100002,"서울특별시 마포구 월드컵로 212 (성산동, 마포구보건소)",R,보건소,마포구보건소,126.9018692987165,37.56693851924408,2026-08-07 14:53:10.0
A1100024,"서울특별시 영등포구 도림로 156, 명지성모병원 (대림동)",A,종합병원,명지성모병원,126.89925446922592,37.4938507104387,2026-08-07 14:53:10.0
A1100046,서울특별시 강서구 강서로 295 (내발산동),A,종합병원,미즈메디병원,126.83602535156236,37.55225379358291,2026-08-07 14:53:10.0
A1100036,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",A,종합병원,부민병원,126.85094950539181,37.556940892893586,2026-08-07 14:53:11.0
A1100010,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",A,종합병원,삼성서울병원,127.08668245340024,37.48851613490445,2026-08-07 14:53:11.0
A1100021,서울특별시 동대문구 망우로 82 (휘경동),A,종합병원,삼육서울병원,127.0653288266823,37.587992001305395,2026-08-07 14:53:11.0
E1100004,서울특별시 서대문구 연희로 242   (연희동),R,보건소,서대문구보건소,126.93628175148127,37.578671432548965,2026-08-07 14:53:12.0
A1100017,서울특별시 종로구 대학로 101 (연건동),A,종합병원,서울대학교병원,126.99896308412191,37.57966608924356,2026-08-07 14:53:12.0
